"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/01/2024","24,260.0","24,260.0","24,260.0","24,260.0","","0.00%"
"02/01/2024","24,325.0","24,265.0","24,337.5","24,250.0","","0.27%"
"03/01/2024","24,370.0","24,345.0","24,387.5","24,310.0","","0.18%"
"04/01/2024","24,360.0","24,365.0","24,400.0","24,357.5","","-0.04%"
"05/01/2024","24,370.0","24,370.0","24,380.0","24,337.0","","0.04%"
"08/01/2024","24,330.0","24,370.0","24,390.0","24,327.5","","-0.16%"
"09/01/2024","24,360.0","24,350.0","24,392.5","24,337.5","","0.12%"
"10/01/2024","24,405.0","24,370.0","24,420.0","24,345.0","","0.18%"
"11/01/2024","24,475.0","24,455.0","24,492.5","24,445.0","","0.29%"
"12/01/2024","24,490.0","24,495.0","24,535.0","24,480.0","","0.06%"
"15/01/2024","24,470.0","24,460.0","24,490.0","24,460.0","","-0.08%"
"16/01/2024","24,500.0","24,505.0","24,547.5","24,470.0","","0.12%"
"17/01/2024","24,530.0","24,520.0","24,556.5","24,520.0","","0.12%"
"18/01/2024","24,545.0","24,520.0","24,580.0","24,520.0","","0.06%"
"19/01/2024","24,540.0","24,550.0","24,570.0","24,535.0","","-0.02%"
"22/01/2024","24,550.0","24,535.0","24,565.0","24,510.0","","0.04%"
"23/01/2024","24,565.0","24,565.0","24,575.0","24,510.0","","0.06%"
"24/01/2024","24,600.0","24,575.0","24,617.5","24,541.0","","0.14%"
"25/01/2024","24,605.0","24,595.0","24,615.0","24,577.5","","0.02%"
"26/01/2024","24,595.0","24,620.0","24,625.0","24,600.0","","-0.04%"
"29/01/2024","24,530.0","24,595.0","24,610.0","24,535.0","","-0.26%"
"30/01/2024","24,395.0","24,510.0","24,510.0","24,395.0","","-0.55%"
"31/01/2024","24,415.0","24,400.0","24,465.0","24,395.0","","0.08%"
"01/02/2024","24,400.0","24,414.5","24,430.0","24,362.5","","-0.06%"
"02/02/2024","24,335.0","24,400.0","24,417.5","24,330.0","","-0.27%"
"05/02/2024","24,370.0","24,415.0","24,417.5","24,360.0","","0.14%"
"06/02/2024","24,355.0","24,385.0","24,387.5","24,342.5","","-0.06%"
"07/02/2024","24,400.0","24,375.0","24,465.0","24,370.0","","0.18%"
"08/02/2024","24,400.0","24,400.0","24,400.0","24,400.0","","0.00%"
"09/02/2024","24,400.0","24,400.0","24,400.0","24,400.0","","0.00%"
"12/02/2024","24,400.0","24,400.0","24,400.0","24,400.0","","0.00%"
"13/02/2024","24,400.0","24,400.0","24,400.0","24,400.0","","0.00%"
"14/02/2024","24,400.0","24,400.0","24,400.0","24,400.0","","0.00%"
"15/02/2024","24,450.0","24,455.0","24,465.0","24,400.0","","0.20%"
"16/02/2024","24,510.0","24,422.5","24,550.0","24,422.5","","0.25%"
"19/02/2024","24,530.0","24,530.0","24,540.0","24,490.0","","0.08%"
"20/02/2024","24,525.0","24,545.0","24,550.0","24,527.5","","-0.02%"
"21/02/2024","24,525.0","24,532.5","24,550.0","24,490.0","","0.00%"
"22/02/2024","24,590.0","24,555.0","24,615.0","24,552.5","","0.27%"
"23/02/2024","24,630.0","24,610.0","24,660.0","24,597.5","","0.16%"
"26/02/2024","24,660.0","24,650.0","24,707.5","24,640.0","","0.12%"
"27/02/2024","24,625.0","24,670.0","24,674.0","24,632.5","","-0.14%"
"28/02/2024","24,620.0","24,645.0","24,655.0","24,606.0","","-0.02%"
"29/02/2024","24,640.0","24,645.0","24,657.5","24,639.0","","0.08%"
"01/03/2024","24,640.0","24,652.5","24,660.0","24,639.0","","0.00%"
"04/03/2024","24,676.0","24,660.0","24,700.0","24,649.5","","0.15%"
"05/03/2024","24,690.0","24,690.0","24,705.0","24,649.5","","0.06%"
"06/03/2024","24,665.0","24,707.5","24,721.5","24,642.5","","-0.10%"
"07/03/2024","24,680.0","24,642.5","24,715.0","24,642.5","","0.06%"
"08/03/2024","24,640.0","24,685.0","24,700.0","24,632.5","","-0.16%"
"11/03/2024","24,635.0","24,645.0","24,670.0","24,602.5","","-0.02%"
"12/03/2024","24,645.0","24,655.0","24,680.0","24,625.0","","0.04%"
"13/03/2024","24,675.0","24,650.0","24,687.5","24,640.0","","0.12%"
